Date,Open,High,Low,Close,Adj Close,Volume
15-07-2024,255.9700012,265.6000061,251.7299957,252.6399994,252.6399994,146912900
16-07-2024,255.3099976,258.6199951,245.8000031,256.5599976,256.5599976,126332500
17-07-2024,252.7299957,258.4700012,246.1799927,248.5,248.5,115584800
18-07-2024,251.0899963,257.1400146,247.1999969,249.2299957,249.2299957,110869000
19-07-2024,247.7899933,249.4400024,236.8300018,239.1999969,239.1999969,87403900
22-07-2024,244.2100067,253.2100067,243.75,251.5099945,251.5099945,101225400
23-07-2024,253.6000061,255.7599945,245.6300049,246.3800049,246.3800049,111928200
24-07-2024,225.4199982,225.9900055,214.7100067,215.9900055,215.9900055,167942900
25-07-2024,216.8000031,226,216.2299957,220.25,220.25,100636500
26-07-2024,221.1900024,222.2799988,215.3300018,219.8000031,219.8000031,94604100
29-07-2024,224.8999939,234.2700043,224.6999969,232.1000061,232.1000061,129201800
30-07-2024,232.25,232.4100037,220,222.6199951,222.6199951,100560300
31-07-2024,227.8999939,234.6799927,226.7899933,232.0700073,232.0700073,67497000
01-08-2024,227.6900024,231.8699951,214.3300018,216.8600006,216.8600006,83861900
02-08-2024,214.8800049,216.1300049,205.7799988,207.6699982,207.6699982,82880100
05-08-2024,185.2200012,203.8800049,182,198.8800049,198.8800049,100308800
06-08-2024,200.75,202.8999939,192.6699982,200.6399994,200.6399994,73783900
07-08-2024,200.7700043,203.4900055,191.4799957,191.7599945,191.7599945,71159800
08-08-2024,195.6999969,200.6999969,192.0399933,198.8399963,198.8399963,65033900
09-08-2024,197.0500031,200.8800049,195.1100006,200,200,58648300
12-08-2024,199.0200043,199.2599945,194.6699982,197.4900055,197.4900055,64044900
13-08-2024,198.4700012,208.4900055,197.0599976,207.8300018,207.8300018,76247400
14-08-2024,207.3899994,208.4400024,198.75,201.3800049,201.3800049,70250000
15-08-2024,205.0200043,215.8800049,204.8200073,214.1399994,214.1399994,89848500
16-08-2024,211.1499939,219.8000031,210.8000031,216.1199951,216.1199951,88765100
19-08-2024,217.0700073,222.9799957,214.0899963,222.7200012,222.7200012,76435200
20-08-2024,224.8800049,228.2200012,219.5599976,221.1000061,221.1000061,74001200
21-08-2024,222.6699982,224.6600037,218.8600006,223.2700043,223.2700043,70146000
22-08-2024,223.8200073,224.8000031,210.3200073,210.6600037,210.6600037,79514500
23-08-2024,214.4600067,221.4799957,214.2100067,220.3200073,220.3200073,81525200
26-08-2024,218.75,219.0899963,211.0099945,213.2100067,213.2100067,59301200
27-08-2024,213.25,215.6600037,206.9400024,209.2100067,209.2100067,62821400
28-08-2024,209.7200012,211.8399963,202.5899963,205.75,205.75,64116400
29-08-2024,209.8000031,214.8899994,205.9700012,206.2799988,206.2799988,62308800
30-08-2024,208.6300049,214.5700073,207.0299988,214.1100006,214.1100006,63370600
03-09-2024,215.2599945,219.8999939,209.6399994,210.6000061,210.6000061,76714200
04-09-2024,210.5899963,222.2200012,210.5700073,219.4100037,219.4100037,80651800
05-09-2024,223.4900055,235,222.25,230.1699982,230.1699982,119355000
06-09-2024,232.6000061,233.6000061,210.5099945,210.7299957,210.7299957,112177000
09-09-2024,216.1999969,219.8699951,213.6699982,216.2700043,216.2700043,67443500
10-09-2024,220.0700073,226.3999939,218.6399994,226.1699982,226.1699982,78891100
11-09-2024,224.5500031,228.4700012,216.8000031,228.1300049,228.1300049,83548600
12-09-2024,224.6600037,231.4499969,223.8300018,229.8099976,229.8099976,72020000
13-09-2024,228,232.6699982,226.3200073,230.2899933,230.2899933,59515100
16-09-2024,229.3000031,229.9600067,223.5299988,226.7799988,226.7799988,54323000
17-09-2024,229.4499969,234.5700073,226.5500031,227.8699951,227.8699951,66761600
18-09-2024,230.0899963,235.6799927,226.8800049,227.1999969,227.1999969,78010200
19-09-2024,234,244.2400055,232.1300049,243.9199982,243.9199982,102694600
20-09-2024,241.5200043,243.9900055,235.9199982,238.25,238.25,99879100
23-09-2024,242.6100006,250,241.9199982,250,250,86927200
24-09-2024,254.0800018,257.1900024,249.0500031,254.2700043,254.2700043,88491000
25-09-2024,252.5399933,257.0499878,252.2799988,257.019989,257.019989,65034300
26-09-2024,260.6000061,261.75,251.5299988,254.2200012,254.2200012,67142200
27-09-2024,257.3800049,260.7000122,254.1199951,260.4599915,260.4599915,70988100
30-09-2024,259.0400085,264.8599854,255.7700043,261.6300049,261.6300049,80705700
01-10-2024,262.6700134,263.980011,248.5299988,258.019989,258.019989,87397600
02-10-2024,247.5500031,251.1600037,241.5,249.0200043,249.0200043,93983900
03-10-2024,244.4799957,249.7899933,237.8099976,240.6600037,240.6600037,80729200
04-10-2024,246.6900024,250.9600067,244.5800018,250.0800018,250.0800018,86573200
07-10-2024,249,249.8300018,240.6999969,240.8300018,240.8300018,68113300
08-10-2024,243.5599976,246.2100067,240.5599976,244.5,244.5,56303200
09-10-2024,243.8200073,247.4299927,239.5099945,241.0500031,241.0500031,66289500
10-10-2024,241.8099976,242.7899933,232.3399963,238.7700043,238.7700043,83087100
11-10-2024,220.1300049,223.3399963,214.3800049,217.8000031,217.8000031,142628900
14-10-2024,220.1300049,221.9100037,213.7400055,219.1600037,219.1600037,86291900
15-10-2024,220.0099945,224.2599945,217.1199951,219.5700073,219.5700073,62988800
16-10-2024,221.3999939,222.8200073,218.9299927,221.3300018,221.3300018,49632800
